# dataset_candidates — public datasets screened for the spatial calibration pilot
# Includes REJECTED candidates on purpose: a search that records only
# its accepts is not a provenance trail.
# size_bytes and file names were verified against the repository API
# where possible; anything unverified says so rather than being
# transcribed as fact.
# NOTE on Dryad: a dataset's storageSize is CUMULATIVE ACROSS VERSIONS.
# The current version's file total can be several times smaller, and
# budgeting a download from storageSize will badly overestimate it.
# clears_target_gate can never be true for a surrogate, however good
# the data are — the pitch and density must refer to the target
# consortium under its declared conditions.
# UNIQUENESS KEY: candidate_id
# Blank numeric cells mean NOT MEASURED. They are never read as zero.
#
# NO CANDIDATE CLEARS THE TARGET GATE. Screening returned
# PUBLIC_COMPONENTS_FOUND_BUT_NOT_PAIRED: public morphology can validate the
# pipeline and possibly a named surrogate, but nothing covers the seven-species
# consortium, and no public record pairs a calibrated 3D volume with wet mass,
# dry mass and matched blanks for one system.
#
# ACCESS NOTE: Dryad fronts its download endpoints with Anubis, a
# proof-of-work anti-bot challenge aimed at automated clients. The data
# is CC0 and downloads normally in a browser. The challenge was NOT
# defeated programmatically; file digests below let a manual copy be
# verified byte-for-byte instead.
candidate_id,repository,identifier,title,organism,target_relationship,modality,size_bytes,size_basis,n_files,license,has_3d_stacks,has_voxel_calibration,has_time_course,verdict,clears_target_gate,rationale,verified_via,accessed_date,evidence_basis,source_id,status
vcholerae_dryad_zcrjdfnph,Dryad,doi:10.5061/dryad.zcrjdfnph,Confocal microscopy images for: Surface remodeling and inversion of cell-matrix interactions ... in Vibrio cholerae biofilms,Vibrio cholerae,surrogate,confocal_nd2,1589998422,current_version,4,CC0-1.0,true,unverified,true,use_first,false,"Best ratio of size, raw-data quality and metadata. VERIFIED via the Dryad API: 1589998422 bytes over 4 files — Dataset_1_Fig1b_Timecourse.nd2 (573.4 MB), Dataset_2_Fig4a_Timecourse.nd2 (424.6 MB), Dataset_3_Fig3c_VPS-Bap1.nd2 (592.0 MB), README.md. Two are explicit time courses, so one modest download exercises BOTH the spatial pitch machinery and the candidate temporal observables. Raw ND2 rather than rendered figures. SURROGATE: V. cholerae is not a modelled species, so a successful result licenses 'the machinery was validated against a named public 3D reference system', never 'the biological pitch was calibrated'. Voxel calibration is expected in the ND2 metadata but was not verified without downloading. SHA-256 (sha-256): Dataset_1_Fig1b_Timecourse.nd2 276a689d37b28a144bd75b785981e355528f174b45b4700fe105d702947b9537; Dataset_2_Fig4a_Timecourse.nd2 0f19ca0b2e04b583ba61dc668a62abcd300ec5e01ecc897245a0057701327748; Dataset_3_Fig3c_VPS-Bap1.nd2 11aa538173d6dbac45ccb7b140c597afae5007091a400b42479882de0e0675ab; README.md af49927a984c547ef139091e42c68e32a22fd13f825210bd1d64b1dc5115025f. The 424.6 MB Dataset_2 time course is the recommended single download: it serves both the spatial and the temporal pass.","Dryad API v2 datasets+files; SHA-256 digests recorded below. AUTOMATED DOWNLOAD BLOCKED: the download endpoints return 401 (API, needs a bearer token) and 403/proof-of-work (public route). Dryad fronts downloads with Anubis 1.24.0, a proof-of-work anti-bot challenge aimed at automated clients. The data is CC0 and freely downloadable BY A BROWSER; the challenge was deliberately not defeated. Fetch manually and verify against the digests.",2026-08-14,primary_literature,DATASET_SCREEN_2026,provisional
bsubtilis_dryad_f4qrfj71n,Dryad,doi:10.5061/dryad.f4qrfj71n,Data for: Extensive cellular multi-tasking within Bacillus subtilis biofilms,Bacillus subtilis,exact_species,confocal_archives,49720000000,current_version,9,unverified,unverified,unverified,unverified,inspect_first,false,"Highest-value EXACT-SPECIES spatial candidate — B. subtilis is one of the seven. VERIFIED via the Dryad API, and the verification matters: the dataset's storageSize is 215.77 GB CUMULATIVE ACROSS VERSIONS while the CURRENT version totals 49.72 GB over 9 files. Budgeting from storageSize would overestimate by 4.3x. The four confocal archives are 4.36-6.46 GB each (Confocal-1..4.7z), so inspecting the README and downloading ONE archive is 4-6 GB, not 50. Parts of the study use prepared sections rather than intact volumes, so whether any archive provides an intact calibrated 3D biovolume must be checked at file level before it is treated as a pitch dataset.",Dryad API v2 datasets+files,2026-08-14,primary_literature,DATASET_SCREEN_2026,provisional
shewanella_dryad_8sc52,Dryad,doi:10.5061/dryad.8sc52,Data from: In situ analysis of a silver nanoparticle-precipitating Shewanella biofilm,Shewanella oneidensis MR-1,exact_species,confocal_raman,5142000000,current_version,,unverified,false,true,unverified,diagnostic_only,false,"EXACT SPECIES and the model's metal-reducing component. VERIFIED 5.142 GB via the Dryad API, matching the screening figure. NOT a pitch dataset: these are in-situ confocal Raman chemical scans, laterally calibrated, mapping cytochromes, flavins, polysaccharides and phosphate — not a conventional volumetric fluorescence biovolume series, and the optics were chosen to hold many cells in one focal plane. Retain to test exact-species chemical heterogeneity and to judge whether a homogeneous hydrated-effective material stays adequate once metal loading is present. Do not use it to select a.",Dryad API v2 search,2026-08-14,primary_literature,DATASET_SCREEN_2026,ready
shewanella_zenodo_pedot,Zenodo,unverified,S. oneidensis MR-1 on functionalised PEDOT:PSS surfaces,Shewanella oneidensis MR-1,exact_species,confocal_plus_assays,64400000,unverified,,unverified,unverified,unverified,unverified,inspect_first,false,"EXACT SPECIES, and cheap to check: roughly 64.4 MB with a ~32.8 MB confocal archive plus live/dead and biofilm-formation spreadsheets. Metadata does not establish that the archive holds physically calibrated 3D z-stacks, so this is a low-cost metadata inspection rather than a known biovolume source. Identifier not verified in this pass.",not verified in this pass,2026-08-14,primary_literature,DATASET_SCREEN_2026,provisional
biofilmq_tutorial,BiofilmQ,unverified,BiofilmQ tutorial dataset,generic,surrogate,confocal_tutorial,737000000,unverified,,unverified,unverified,unverified,false,diagnostic_only,false,"Not a calibration source — an EXTERNAL BENCHMARK. BiofilmQ thresholds 3D biofilm biovolume and subdivides it into user-sized cubic pseudo-cells, reporting cube volume fraction and interface properties without literal-cell segmentation. That is independent methodological support for the parcel semantics and the field harness. The check is agreement on the same input at the same cube size. It must NEVER become a runtime dependency: the package is deliberately numpy-only.",not verified in this pass,2026-08-14,primary_literature,DATASET_SCREEN_2026,provisional
pputida_microfluidics,unverified,unverified,Pseudomonas putida biofilm in microfluidic channels,Pseudomonas putida,surrogate,confocal,,unverified,,unverified,unverified,unverified,unverified,inspect_first,false,"Backup geometry and segmentation surrogate: raw Nikon confocal images with experimental parameters, processing code and derived thickness. Behind the V. cholerae deposit on verified metadata; hold unless that pilot fails.",not verified in this pass,2026-08-14,primary_literature,DATASET_SCREEN_2026,provisional
dradiodurans_zenodo_em,Zenodo,unverified,D. radiodurans liquid-cell electron microscopy,Deinococcus radiodurans,exact_species,liquid_cell_em,,unverified,,unverified,false,unverified,false,rejected,false,"REJECTED ON SCALE, not on quality. Exact species and a large high-resolution dataset, but its subject is cell ultrastructure in graphene liquid cells, not bulk biofilm architecture. A parcel is a coarse biomass unit; ultrastructure is several orders of magnitude below the scale at which a pitch is chosen, so no coarse-graining of it answers the pitch question.",not verified in this pass,2026-08-14,primary_literature,DATASET_SCREEN_2026,ready
aniger_dryad_supplemental,Dryad,unverified,A. niger supplemental figure data,Aspergillus niger,exact_species,figure_supplement,,unverified,,unverified,false,false,false,rejected,false,"REJECTED ON MODALITY. Exact species, but the record holds supplemental figure files on fungal physiology rather than calibrated 3D biofilm stacks. Recorded so the same search is not repeated.",not verified in this pass,2026-08-14,primary_literature,DATASET_SCREEN_2026,ready
cneoformans_deposits,mixed,unverified,C. neoformans public deposits (flow cytometry / transcriptomic / figure data),Cryptococcus neoformans,exact_species,non_volumetric,,unverified,,unverified,false,false,false,rejected,false,"REJECTED ON MODALITY. Searches surfaced flow cytometry, transcriptomic and figure-supporting data rather than reusable biofilm volumes. Note also that C. neoformans strains are commonly BSL-2 where other components are BSL-1, so this species drives the containment decision for any target campaign — see the biosafety fields in baseline_condition.csv.",not verified in this pass,2026-08-14,primary_literature,DATASET_SCREEN_2026,ready
shewanella_holographic_motility,Dryad,unverified,S. oneidensis MR-1 3D digital-holographic motility,Shewanella oneidensis MR-1,exact_species,holographic_tracking,,unverified,,unverified,false,true,true,rejected,false,"REJECTED ON REPRESENTATIONAL GROUNDS, and it is the most instructive rejection here. An excellent exact-species dataset — 48 fps holographic recordings, 3D single-cell trajectories across four trials — that answers the WRONG question: it tracks swimming cells near an electrode, and a CPM cell ID is a computational biomass parcel, not an observable bacterium. Independent confirmation that single_cell_msd was correctly rejected as a seconds/MCS observable.",not verified in this pass,2026-08-14,primary_literature,DATASET_SCREEN_2026,ready
