# reference_d_requirements — every input Reference D still needs, and who can supply it.
#
# WHY THIS EXISTS. "Run the lab campaign" is not a specification. This table is
# the specification: one row per field whose absence makes emit_transport_config()
# refuse under evidence_policy = measured_only, with the artifact that closes it.
#
# IT IS NOT A WISH LIST. The rows are checked against the live contract by
# calibration/scripts/reference_d_status.py and by a test: a field the emitter
# requires but this table omits is a FAILURE, and so is a row naming a field the
# emitter does not require. The protocol therefore cannot drift from the code.
#
# supplied_by — the load-bearing column, because these are not the same job:
#   measured        a laboratory or metrology result. The campaign produces it.
#   evaluated_data  published evaluated nuclear data. Looked up, never measured here.
#   derived         computed from other rows; has no independent measurement.
#   declared        a MODELLING CHOICE. No measurement can supply it and none should
#                   be sought; what is required is that the choice is written down
#                   with its justification.
#
# A row's status is about the INPUT, not about the work item:
#   not_started            nothing exists yet
#   satisfied              the value exists and its gate accepts it
#   blocked_on_model       awaits a model change, not a measurement
#   awaits_upstream        cannot begin until another row is satisfied
#
# UNIQUENESS KEY: requirement_id
# Blank cells mean NOT SUPPLIED. They are never read as zero or as a default.
requirement_id,config_key,supplied_by,artifact,lands_in,acceptance_criterion,unblocks,status,notes
D-PITCH,lattice_pitch_um,measured,"Time-resolved 3-D biomass stacks of the target consortium: at least one training and one INDEPENDENT held-out stack, each with voxel calibration and a declared segmentation basis",data/calibration/spatial/{sample_metadata|object_morphology|biofilm_structure}.csv,select_pitch() returns a factor: the coarsest pitch preserving all six declared observables within tolerance on training AND held-out stacks,spatial gate,awaiting_measurement,"NOT IDENTIFIABLE FROM A CELL VOLUME. V_physical = V_sites*a^3 fixes only the product, so a morphology dataset is necessary and not sufficient — a second constraint must be declared. Held-out means an independent sample, not another frame of the same file: that is what stopped the V. cholerae pilot."
D-THRESH,lattice_pitch_um,declared,"The five acceptance thresholds, filled in BEFORE the stacks are analysed",config/reference_d_spatial_acceptance.toml,"minimum_minor_axis_voxels, maximum_volume_quantization_error, maximum_axis_ratio_error, maximum_memory_bytes and minimum_objects_per_species all set",spatial gate,satisfied,"Declared in advance or the pitch is chosen by looking at the answer. select_pitch() refuses without complete tolerances, which is the same rule enforced twice."
D-ENTITY,lattice_pitch_um,declared,An entity_kind and status for every species in the consortium,data/calibration/spatial/entity_semantics.csv,no species left unresolved; no literal_generation_claim_allowed = true,spatial gate,satisfied,"A literal-cell claim returns MODEL_REVISION_REQUIRED and outranks every other verdict: compute_delta_H has no shape or connectivity term, V_target is one global scalar, and divide_cell! has no trigger. A CPM cell ID is a computational biomass parcel."
D-TIMEOBS,cpm.seconds_per_mcs,declared,The selected dynamic observable: biomass_autocorrelation_decay,data/calibration/spatial/time_observable.csv,"exactly one selected observable, and it is selectable: represented_by_model, measurable and semantically_compatible_with_parcel",spatial gate,satisfied,"ALREADY DECLARED and the gate accepts it. It is listed because selecting it BINDS THE CAMPAIGN: the experimental quantity is the correlation length of the segmented biomass field OVER TIME, so the stacks must be time-resolved. Selecting before the spatial calibration was deliberate, to avoid a static campaign that would have to be repeated."
D-TIMESERIES,cpm.seconds_per_mcs,measured,"Time-resolved 3-D stacks: the same field imaged at multiple timepoints, enough to fit a decay",data/calibration/spatial/sample_metadata.csv,"a declared timepoint count and interval, sufficient to fit the decay of the spatial correlation length",spatial gate,awaiting_measurement,"NO MINIMUM TIMEPOINT COUNT EXISTS IN THE CODE OR THE LEDGER. Two is the arithmetic floor for a decay rate and is not a design. The campaign must DECLARE the count and interval and justify them; do not infer a number from this repository, because there is none to infer."
D-APPROVAL,none,declared,"An institutional biosafety approval id for every growth condition, obtained BEFORE culturing",data/calibration/baseline_condition.csv,"institutional_approval_id names a real approval (filler text refused), an issuing authority is named, approval_source_id resolves to a document_type = institutional_biosafety_approval row with a locator, approval_effective_date <= culturing_start_date < approval_expiration_date, the approval has not expired, approval_scope_hash matches the row's conditions, and is_target_system = true",spatial gate,awaiting_approval,"Biosafety follows STRAINS, not species: C. neoformans is BSL-2 where the others are BSL-1. A surrogate exercises the harness and can never clear the target gate. HARDENED: this was a presence check, and since the schema already refuses a blank it was very nearly a no-op -- any non-empty string cleared it, including the words 'd approved'. See calibration/biofilm_calibration/approval.py. The checks verify the fields a reviewer would ask for; they cannot verify the document is genuine, and no local check can."
D-RHOWET,density_g_cm3,measured,"Paired wet mass and hydrated volume on the SAME coupon, with a stated surface-water removal protocol and a matched blank",data/calibration/materials/bulk_measurements.csv,"volume_basis = whole_biofilm_envelope (or a declared pore_volume_fraction), and every row names a blank_sample_id",material OpenMC gate,awaiting_measurement,THE VOLUME MUST ENCLOSE WHAT THE BALANCE WEIGHED. A balance weighs cells plus matrix plus interstitial water; a cells_only mask encloses none of the last two and rho_wet comes out systematically HIGH. cells_only is refused outright.
D-BLANK,density_g_cm3,measured,A matched blank coupon per bulk measurement: the substrate carried through the identical handling and drying with no biofilm,data/calibration/materials/blanks.csv,every bulk_measurements row resolves to a blank_sample_id,material OpenMC gate,awaiting_measurement,Blank subtraction is the DEFINITION of a biofilm mass. An unblanked sample attributes the substrate and its retained water to the biofilm.
D-DRY,none,measured,"Dry mass on the same coupons, to a stated end point",data/calibration/materials/bulk_measurements.csv,paired with the wet mass of the same sample_id,material OpenMC gate,awaiting_measurement,"Gives the dry biomass concentration and, with the wet mass, the water fraction that dominates the hydrated composition."
D-COMP,biomass_elements,measured,"Closed hydrated elemental composition: water plus dry organic (CHNS) plus ash plus salts plus metals, blended to mass fractions",data/calibration/materials/{elemental_analysis|component_definitions}.csv,"mass fractions sum to 1 within 1e-6 and evidence_basis is direct_measurement, manufacturer_datasheet, primary_literature or derived",material OpenMC gate,awaiting_measurement,"CLOSED is the requirement, not complete. Anything unmeasured has to be carried explicitly as a residual component with a declared composition, or the fractions cannot sum to 1 and the loader refuses the config."
D-PAIRED,density_g_cm3,measured,A paired_sample_group linking each imaged stack to the coupon whose mass was weighed,data/calibration/{spatial|materials}/sample_metadata.csv,no sample in either table has an empty paired_sample_group,both gates,awaiting_measurement,"Enforced on BOTH sides. An unpaired density describes a different biofilm from the one the pitch was fitted to, and the join is the only thing that makes them one system."
D-REPLICATES,none,derived,"A replicate count per condition, sized from the pilot's own variance",data/calibration/materials/bulk_measurements.csv,detectability() clears before required_replicates() is consulted,material OpenMC gate,awaiting_derivation,"ORDER MATTERS. A mass under the blank's noise is a SUBSTRATE problem, not a replicate problem, and no number of replicates fixes it. Size the campaign only after detectability passes."
D-MODELKIND,none,declared,material_model_kind for every component,data/calibration/materials/component_definitions.csv,hydrated_effective_medium only,material OpenMC gate,satisfied,"The mapper assigns ONE material class per occupied voxel. explicit_components would need sub-voxel homogenization, which does not exist."
D-MEDIUM,medium,measured,Density and closed composition of the bulk medium surrounding the biofilm,data/calibration/materials/component_definitions.csv,closed to 1 and exportable evidence_basis,material OpenMC gate,awaiting_measurement,"The medium fills every unoccupied voxel and the lattice outer region, so it carries most of the domain's mass and most of the attenuation."
