# feedback_parameter_distributions — what varies in the feedback experiment, and HOW.
#
# THE COLUMN THAT MATTERS IS sampling_role, not distribution_family. Sampling
# every uncertain thing from one undifferentiated Latin hypercube produces a
# probability with no physical interpretation, because these are not the same
# kind of uncertainty:
#
#   physical_measurement / biological_posterior / source_metrology
#       genuine epistemic uncertainty. Draw from a distribution.
#   monte_carlo_estimator
#       the transport estimator's own variance. Nested REPLICATES, not a prior.
#   numerical_convergence
#       mesh, histories, ray counts. BOUNDED by convergence, never sampled: a
#       mesh factor is an engineering decision, and giving it a probability
#       mixes that decision into the epistemic answer.
#   discrete_model_choice / nuclear_data_model
#       branched as named scenarios. No defensible photo-atomic covariance
#       package was identified, so a Gaussian "cross-section uncertainty" would
#       be invented rather than propagated.
#
# physical_contract.distribution_row_problems() refuses outer_random for the
# last three, so this rule is enforced rather than merely written down.
#
# CORRELATION IS NOT OPTIONAL. Wet and dry mass of one coupon share a balance
# calibration; a closed composition has strong negative correlations by
# construction. correlation_group names inputs that must be sampled jointly —
# uncertainty.propagate() assumes independence and says so, so anything sharing
# a group must be combined BEFORE it reaches the sampler.
#
# A physical row may only carry a distribution once its pilot cleared:
# detectability PASS, basis PASS, pairing PASS. Converting a non-detectable
# measurement into a very wide Gaussian is not conservatism; it is inventing
# information. Such rows take distribution_status = NOT_IDENTIFIABLE.
#
# UNIQUENESS KEY: parameter_id
# Blank cells mean NOT SUPPLIED. They are never read as zero.
parameter_id,parameter_path,quantity_name,unit,uncertainty_type,sampling_role,distribution_family,correlation_group,conditional_on,scenario_id,gate_role,evidence_basis,distribution_status,status,notes
wet_bulk_density,materials.baseline_biomass.density_g_cm3,hydrated bulk density,g_cm3,physical_measurement,outer_random,empirical_posterior_or_truncated_lognormal,gravimetry_coupon,detectability PASS,,offline+online,,NOT_IDENTIFIABLE,awaiting_measurement,"Positive by construction, so a bare Gaussian can generate impossible draws. Shares gravimetry_coupon with the hydrated volume and the dry mass: one balance, one segmentation."
hydrated_volume,materials.baseline_biomass.volume,hydrated volume,cm3,physical_measurement,outer_random,empirical_bootstrap,gravimetry_coupon,volume_support PASS,,offline+online,,NOT_IDENTIFIABLE,awaiting_measurement,"Correlated with the density it denominates and with the segmentation that produced it. Sampling it independently would break rho_wet = m/V."
biomass_composition,materials.baseline_biomass.elements,closed hydrated composition,mass_fraction,physical_measurement,outer_random,logistic_normal_or_dirichlet,composition_simplex,closure PASS,,offline+online,,NOT_IDENTIFIABLE,awaiting_measurement,"COMPOSITIONAL DATA. Fractions must stay non-negative and sum to 1, so independent Gaussian perturbation is invalid. Oxygen-by-difference creates strong negative correlations that must survive into the transport ensemble."
segmentation_field,spatial.biomass_field,segmented biomass field,dimensionless,physical_measurement,outer_random,mask_ensemble,segmentation_specimen,,,offline+online,,NOT_IDENTIFIABLE,awaiting_measurement,"A FIELD uncertainty, not a scalar. Alternative plausible masks move biovolume, surface geometry, the selected pitch, CSG placement and per-label dose at once, so the propagation object is a set of fields sharing specimen identifiers."
lattice_pitch,geometry.voxel_pitch_cm,selected CPM pitch,cm,physical_measurement,outer_random,discrete_posterior_over_stacks,segmentation_specimen,select_pitch returns a factor,,offline+online,,NOT_IDENTIFIABLE,awaiting_measurement,"Bootstrap across independent stacks and pitch-selection outcomes, jointly with the segmentation and occupancy decisions that produced it."
melanin_fraction,materials.melanized.mass_fraction,melanin mass fraction,dimensionless,biological_posterior,outer_random,beta_or_logit_normal,,melanized scenario,melanized,offline+online,,NOT_IDENTIFIABLE,awaiting_measurement,"BOUNDED in [0,1]. Melanin radioprotection is not a universal monotonic coefficient — it varies with chemical composition, spatial arrangement, metabolic state and radiation modality — so this is a distribution over a scenario, never a fixed multiplier."
metal_loading,materials.metal_loaded.loading,metal loading,g_cm3,biological_posterior,outer_random,lognormal_or_zero_inflated,,active_fraction declared,metal_loaded,offline,,NOT_IDENTIFIABLE,unsupported_by_current_model,"Joint with oxidation state and speciation. The radiodialysis path is blocked by a units error upstream, so measuring this does not unblock it; it is available to the offline MATERIAL screen only."
source_activity,source.photons_per_second,source emission rate,per_s,source_metrology,outer_random,certificate_posterior,,assay certificate + reference date,,online,,NOT_IDENTIFIABLE,awaiting_measurement,"CANCELS from a relative effect, so the offline material screen runs per source particle before any certificate exists. Absolute Gy/s and any time-integrated dose get no such cancellation."
source_placement,source.position_cm,as-built source position,cm,physical_measurement,outer_random,measured_placement,,,,offline+online,,NOT_IDENTIFIABLE,awaiting_measurement,"Once Reference D moves past an idealized line source, placement uncertainty moves the whole field."
source_spectrum,source.spectrum_probabilities,emission spectrum,dimensionless,nuclear_data_model,scenario_branch,,,,evaluated_line,offline+online,evaluated_nuclear_data,VALID,satisfied,"Fixed evaluated data plus explicit library scenarios. Emission probabilities carry uncertainty only where a defensible evaluation supplies it."
