# Physical parameter provenance ledger. See docs/physical_reference_system.md.
#
# UNIQUENESS KEY: (reference_system_id, required_for_stage, config_key). A ledger
# keyed on config_key alone cannot hold two reference systems at once — it would
# either duplicate rows or silently merge an idealized source into a different
# apparatus and call the result reproduced.
#
# Vocabularies (all enforced by coupling/tests/test_provenance_ledger.py):
#   status              ready | provisional | blocked | not_applicable |
#                       unsupported_by_current_model
#                       (unsupported != blocked: blocked awaits a measurement,
#                        unsupported awaits a model change)
#   mapping_status      mapped | unmapped | unsupported
#   model_compatibility direct | requires_transform | unsupported
#   model_kind          water_phantom | biofilm_cylinder | none
#   sensitivity_domain  transport_numerical | transport_physical |
#                       cpm_kinematic | biological_response | not_evaluated
#   system_provenance   published_replica | certified_component | engineered_composite | declared
#   evidence_basis      direct_measurement | assay_certificate | manufacturer_datasheet |
#                       primary_literature | evaluated_nuclear_data | derived | declared | synthetic
#   required_for_stage  transport | dosimetry | cpm_feedback | membrane_feedback | none
#   sensitivity_rank    high | medium | low | unknown   (all unknown until the resolution sweep)
#
# status and mapping_status are ORTHOGONAL: "ready + unmapped" is a normal
# combination — a parameter can be scientifically settled while the software has
# no key for it. Likewise a value can be known and still be unusable here, which
# is what model_compatibility records.
#
# sensitivity_domain names WHICH ANALYSIS IS COMPETENT to rank a row, so that
# sensitivity_rank can never be read as a claim about a parameter the analysis
# never varied. The A0 resolution/history sweep varies transport_numerical rows
# and nothing else; it cannot rank a biomass density or a seconds-per-MCS.
# not_evaluated means no analysis in the current program is competent — the
# membrane constitutive laws sit there.
#
# model_kind is which builder a row's config key targets. The required-key set
# is kind-dependent (a water phantom has no lattice pitch and no membrane), so
# the coverage test needs it to know which contract to check against.
#
# Units follow the repository convention of suffixing the unit into the
# identifier: cm, eV, s, g_cm3, dimensionless. Never um.
reference_system_id,required_for_stage,config_key,definition,value,unit,distribution,distribution_parameters,system_provenance,evidence_basis,source_id,source_locator,system_conditions,derivation,applicability,model_compatibility,mapping_status,status,sensitivity_rank,sensitivity_domain,model_kind
A0_cs137_idealized,transport,geometry.voxel_pitch_cm,Physical edge length of one CPM lattice voxel,,cm,,,declared,declared,DECLARED_REPO,docs/physical_reference_system.md §2 (A0),n/a,"No longer doubles as the tally bin size: the mesh is set by transport.mesh, so resolution can be swept with the geometry held fixed.","NOT APPLICABLE to A0: a water phantom has no CPM lattice, and the loader no longer asks for a pitch it would not use. Tally resolution comes from transport.mesh instead.",direct,mapped,not_applicable,unknown,transport_physical,water_phantom
A0_cs137_idealized,transport,geometry.origin_cm,"Physical position of the lattice corner at logical index (0,0,0)","[0.0, 0.0, 0.0]",cm,point,,declared,declared,DECLARED_REPO,docs/physical_reference_system.md §2 (A0),n/a,Corner of the modeled domain by definition; the source is centred in it by the builder.,Applies to any reference system; no physical content.,direct,mapped,ready,unknown,transport_physical,water_phantom
A0_cs137_idealized,transport,geometry.cylinder_radius_cm,Radius of the CSG cylinder containing the voxel lattice,15.0,cm,point,,declared,declared,DECLARED_REPO,docs/physical_reference_system.md §2 (A0),n/a,"Declared. ~1.3 attenuation lengths at 661.7 keV, where the mean free path in water is roughly 11.6 cm.","Transport validation only. A synthetic phantom, not an apparatus: it validates the geometry-tally-normalization chain and nothing about any reactor.",direct,mapped,ready,unknown,transport_physical,water_phantom
A0_cs137_idealized,transport,geometry.cylinder_length_cm,Axial length of the CSG cylinder,30.0,cm,point,,declared,declared,DECLARED_REPO,docs/physical_reference_system.md §2 (A0),n/a,"Declared as twice the radius, so the tallied region is a cube.",Transport validation only; see cylinder_radius_cm.,direct,mapped,ready,unknown,transport_physical,water_phantom
A0_cs137_idealized,transport,geometry.membrane_thickness_cm,Radial thickness of the CSG membrane annulus outside the biological domain,,cm,,,declared,declared,DECLARED_REPO,docs/physical_reference_system.md §2 (A0),n/a,,NOT APPLICABLE to A0: a water phantom has no membrane. This row was blocked by the water-phantom gap; the gap is closed (2026-08-14).,direct,mapped,not_applicable,unknown,transport_physical,water_phantom
A0_cs137_idealized,transport,boundaries.axial,Boundary condition on the two axial end planes,vacuum,dimensionless,n/a,,declared,declared,DECLARED_REPO,docs/physical_reference_system.md §2 (A0),n/a,,Vacuum chosen deliberately. Reflective boundaries represent infinite repetition and change the physical problem; they must never be selected to improve tally statistics.,direct,mapped,ready,unknown,transport_physical,water_phantom
A0_cs137_idealized,transport,boundaries.radial_outer,Boundary condition on the outer radial surface,vacuum,dimensionless,n/a,,declared,declared,DECLARED_REPO,docs/physical_reference_system.md §2 (A0),n/a,,Vacuum chosen deliberately; see boundaries.axial.,direct,mapped,ready,unknown,transport_physical,water_phantom
A0_cs137_idealized,transport,source.spectrum_energies_eV,Discrete photon line energies,[661655.0],eV,discrete_lines,"{line_keV = 661.655, uncertainty_keV = 0.003}",certified_component,evaluated_nuclear_data,LNHB_CS137,"Section 5.2 Gamma Emissions, row gamma_2,0 (Ba)","Cs-137 in secular equilibrium with Ba-137m; evaluated data, no matrix or self-attenuation assumed","EMISSION energy 661.655(3) keV from section 5.2, NOT the transition energy 661.657(3) keV from section 2.2 — they differ by the nuclear recoil and only the emission energy defines a source.","Idealized single-line source. Declared simplification: omits Ba X-rays totalling ~7.92 photons per 100 disintegrations (K-shell 31.8-37.4 keV, L-shell 3.95-5.81 keV) and the negligible 283.46 / 378.20 keV lines.",direct,mapped,ready,unknown,transport_physical,water_phantom
A0_cs137_idealized,transport,source.spectrum_probabilities,Normalized discrete PMF over the retained lines,[1.0],dimensionless,discrete_lines,{n_lines = 1},certified_component,derived,LNHB_CS137,Section 5.2 Gamma Emissions,as for spectrum_energies_eV,p_j = Y_j / sum_k Y_k over the RETAINED lines; with one retained line p = 1.0. The loader requires a normalized PMF and does not normalize. The absolute yield is not lost — it enters source.photons_per_second as S = A * sum_j Y_j.,Correct only while one line is retained. Adding the X-ray lines requires recomputing every p_j.,direct,mapped,ready,unknown,transport_physical,water_phantom
A0_cs137_idealized,transport,source.spatial,Spatial distribution of the fixed source,point_origin,dimensionless,n/a,,declared,declared,DECLARED_REPO,docs/physical_reference_system.md §2 (A0),n/a,"build_model places point_origin at (cx, cy, midplane).","IDEALIZED. There is no sealed-capsule option: no active core, no encapsulation, no self-attenuation, no arbitrary placement. See reference A1.",direct,mapped,ready,unknown,transport_physical,water_phantom
A0_cs137_idealized,transport,source.angular,Angular distribution of the fixed source,isotropic,dimensionless,n/a,,declared,declared,DECLARED_REPO,docs/physical_reference_system.md §2 (A0),n/a,,Only value the builder supports.,direct,mapped,ready,unknown,transport_physical,water_phantom
A0_cs137_idealized,transport,materials.medium.density_g_cm3,Mass density of the medium material class,1.0,g_cm3,point,,certified_component,primary_literature,NIST_WATER,Standard liquid-water density,"liquid water, 20 C, 1 atm",,A0 fills the whole lattice with medium; there is no biomass.,direct,mapped,ready,unknown,transport_physical,water_phantom
A0_cs137_idealized,transport,materials.medium.elements,Elemental MASS fractions of the medium material class,"{H = 0.111894, O = 0.888106}",dimensionless,point,,certified_component,derived,NIST_WATER,Stoichiometry of H2O from standard atomic weights,liquid water,H = 2*1.00794/18.01528 = 0.111894; O = 15.9994/18.01528 = 0.888106. Loader requires the fractions to sum to 1.,Standard liquid-water composition; applies to any aqueous medium at this fidelity.,direct,mapped,ready,unknown,transport_physical,water_phantom
A0_cs137_idealized,transport,materials.baseline_biomass.density_g_cm3,Mass density of the baseline hydrated biomass class,,g_cm3,,,declared,declared,DECLARED_REPO,docs/physical_reference_system.md §2 (A0),n/a,,"NOT APPLICABLE to A0: no biomass. required_classes() no longer demands it for this model kind, so no value need be fabricated to build.",direct,mapped,not_applicable,unknown,transport_physical,water_phantom
