# sop_index — generated from reference_d_requirements.csv, not from disciplines.
# Every SOP names what requires it; every measured requirement has an SOP or a named gap.
# supplied_by and status are NOT copied here: calibration/tests/test_sop_index.py reads them
# from the register, so the two files cannot drift. constrained_by is a LIST delimited by ' / '.
# run_by is a DECLARATION, not a verified capability: a row tagged hunter that in fact needs a
# confocal passes every check here, and no test can catch that.
sop_id,requirement_id,constrained_by,tier,coverage,sop_path,title,discipline,run_by,blocked_by,output_artifact,signal_source,conversion_to_parameter,notes
SOP-01,D-PITCH,D-RHOWET,reference_d,sop,docs/calibration/sop/imaging_segmentation.md,"Confocal acquisition, voxel calibration and declared segmentation basis",biophysics / imaging,core_facility,confocal booking and account not yet arranged,stacks + declared basis in spatial/{sample_metadata|object_morphology|biofilm_structure}.csv,,direct: lattice_pitch_um via select_pitch(),D-PITCH requires that A basis be declared; D-RHOWET decides WHICH is acceptable.
SOP-02,D-THRESH,,reference_d,decision,,Decision: five acceptance thresholds,modelling,hunter,,,,not a measurement,A declared row is not laboratory work; test_declared_requirements_are_not_laboratory_work enforces it.
SOP-03,D-ENTITY,,reference_d,decision,,Decision: entity_kind per detected object,modelling,hunter,,,,not a measurement,A declared row is not laboratory work; test_declared_requirements_are_not_laboratory_work enforces it.
SOP-04,D-TIMEOBS,,reference_d,decision,,Decision: the selected dynamic observable,modelling,hunter,,,,not a measurement,A declared row is not laboratory work; test_declared_requirements_are_not_laboratory_work enforces it.
SOP-05,D-TIMESERIES,,reference_d,named_gap,,Time-resolved stacks for the dynamic observable,biophysics / imaging,core_facility,same confocal dependency as D-PITCH; no SOP written,,,direct: cpm.seconds_per_mcs,Gap. Shares D-PITCH apparatus but a separate acquisition schedule.
SOP-06,D-APPROVAL,,reference_d,decision,,Decision: institutional biosafety approval,modelling,hunter,,,,not a measurement,A declared row is not laboratory work; test_declared_requirements_are_not_laboratory_work enforces it.
SOP-07,D-RHOWET,,reference_d,sop,docs/calibration/sop/harvest_dewatering.md,"Coupon harvest, surface-water removal and wet mass",gravimetric,hunter,,wet_mass_sample_plus_substrate_g + hydrated_volume in bulk_measurements.csv,,direct: density_g_cm3,Written from bulk_measurements.csv own columns so schema and procedure cannot disagree.
SOP-08,D-BLANK,,reference_d,sop,docs/calibration/sop/matched_blank.md,Matched blank coupon through the identical wetting and de-watering cycle,gravimetric / analytical,hunter,,"one blank row per bulk measurement, blank_sample_id",,direct: defines the biofilm mass D-RHOWET divides,RUNS FIRST. A mass under the blank noise is a substrate problem no replicate count fixes.
SOP-09,D-DRY,,reference_d,sop,docs/calibration/sop/harvest_dewatering.md,Dry mass to constant weight,gravimetric,hunter,,dry_mass_sample_plus_substrate_g in bulk_measurements.csv,,direct: enters density_g_cm3 with D-RHOWET,Same document as D-RHOWET; constant-weight tolerance stated there.
SOP-10,D-COMP,,reference_d,named_gap,,Closed hydrated elemental composition (CHNS + ICP),analytical / inorganic,hunter,no SOP written,,,direct: biomass_elements,Gap. Closure criterion is the hard part: the sum must account to a declared tolerance or the analysis is incomplete.
